127.0.0.1 - - [26/Mar/2017:16:28:36 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:28:42 +0530] "GET /WatchesBrandDirect/ HTTP/1.1" 200 15314
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:28:42 +0530] "GET /WatchesBrandDirect/Resources/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:28:43 +0530] "GET /WatchesBrandDirect/Resources/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:28:43 +0530] "GET /WatchesBrandDirect/Resources/images/banner1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:28:43 +0530] "GET /WatchesBrandDirect/Resources/css/index.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:28:43 +0530] "GET /WatchesBrandDirect/Resources/images/carousal1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:28:43 +0530] "GET /WatchesBrandDirect/Resources/images/banner3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:28:43 +0530] "GET /WatchesBrandDirect/Resources/images/carousal2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:28:43 +0530] "GET /WatchesBrandDirect/Resources/images/carousal3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:28:43 +0530] "GET /WatchesBrandDirect/Resources/images/carousal4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:28:43 +0530] "GET /WatchesBrandDirect/Resources/images/casual.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:28:44 +0530] "GET /WatchesBrandDirect/Resources/images/luxury.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Mar/2017:16:28:44 +0530] "GET /WatchesBrandDirect/Resources/images/sports.jpg HTTP/1.1" 304 -
